team_id,team_name,team_location,team_logo
133,Oakland Athletics,Oakland,https://www.mlbstatic.com/team-logos/133.svg
134,Pittsburgh Pirates,Pittsburgh,https://www.mlbstatic.com/team-logos/134.svg
135,San Diego Padres,San Diego,https://www.mlbstatic.com/team-logos/135.svg
136,Seattle Mariners,Seattle,https://www.mlbstatic.com/team-logos/136.svg
137,San Francisco Giants,San Francisco,https://www.mlbstatic.com/team-logos/137.svg
138,St. Louis Cardinals,St. Louis,https://www.mlbstatic.com/team-logos/138.svg
139,Tampa Bay Rays,St. Petersburg,https://www.mlbstatic.com/team-logos/139.svg
140,Texas Rangers,Arlington,https://www.mlbstatic.com/team-logos/140.svg
141,Toronto Blue Jays,Toronto,https://www.mlbstatic.com/team-logos/141.svg
142,Minnesota Twins,Minneapolis,https://www.mlbstatic.com/team-logos/142.svg
143,Philadelphia Phillies,Philadelphia,https://www.mlbstatic.com/team-logos/143.svg
144,Atlanta Braves,Atlanta,https://www.mlbstatic.com/team-logos/144.svg
145,Chicago White Sox,Chicago,https://www.mlbstatic.com/team-logos/145.svg
146,Miami Marlins,Miami,https://www.mlbstatic.com/team-logos/146.svg
147,New York Yankees,Bronx,https://www.mlbstatic.com/team-logos/147.svg
158,Milwaukee Brewers,Milwaukee,https://www.mlbstatic.com/team-logos/158.svg
108,Los Angeles Angels,Anaheim,https://www.mlbstatic.com/team-logos/108.svg
109,Arizona Diamondbacks,Phoenix,https://www.mlbstatic.com/team-logos/109.svg
110,Baltimore Orioles,Baltimore,https://www.mlbstatic.com/team-logos/110.svg
111,Boston Red Sox,Boston,https://www.mlbstatic.com/team-logos/111.svg
112,Chicago Cubs,Chicago,https://www.mlbstatic.com/team-logos/112.svg
113,Cincinnati Reds,Cincinnati,https://www.mlbstatic.com/team-logos/113.svg
114,Cleveland Guardians,Cleveland,https://www.mlbstatic.com/team-logos/114.svg
115,Colorado Rockies,Denver,https://www.mlbstatic.com/team-logos/115.svg
116,Detroit Tigers,Detroit,https://www.mlbstatic.com/team-logos/116.svg
117,Houston Astros,Houston,https://www.mlbstatic.com/team-logos/117.svg
118,Kansas City Royals,Kansas City,https://www.mlbstatic.com/team-logos/118.svg
119,Los Angeles Dodgers,Los Angeles,https://www.mlbstatic.com/team-logos/119.svg
120,Washington Nationals,Washington,https://www.mlbstatic.com/team-logos/120.svg
121,New York Mets,Flushing,https://www.mlbstatic.com/team-logos/121.svg
